20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_gopuram.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jan21.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_jun18.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lazarus_vhd_ransomware.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_leviathan.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_kobalos.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lnx_linadoor_rootkit.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_lotusblossom_elise.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_magichound.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_gopuram_apr23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ilo_board_elf.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mal_ru_snake_may23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_microcin.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_middle_east_talosreport.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_miniasp.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_minidionis.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_mofang.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_molerats_jul17.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_monsoon.yar
